0	0
0.002	0.001002
0.004	0.002008
0.006	0.003018
0.008	0.004032
0.01	0.00505
0.012	0.006072
0.014	0.007098
0.016	0.008128
0.018	0.009162
0.02	0.0102
0.022	0.011242
0.024	0.012288
0.026	0.013338
0.028	0.014392
0.03	0.01545
0.032	0.016512
0.034	0.017578
0.036	0.018648
0.038	0.019722
0.04	0.0208
0.042	0.021882
0.044	0.022968
0.046	0.024058
0.048	0.025152
0.05	0.02625
0.052	0.027352
0.054	0.028458
0.056	0.029568
0.058	0.030682
0.06	0.0318
0.062	0.032922
0.064	0.034048
0.066	0.035178
0.068	0.036312
0.07	0.03745
0.072	0.038592
0.074	0.039738
0.076	0.040888
0.078	0.042042
0.08	0.0432
0.082	0.044362
0.084	0.045528
0.086	0.046698
0.088	0.047872
0.09	0.04905
0.092	0.050232
0.094	0.051418
0.096	0.052608
0.098	0.053802
0.1	0.055
0.102	0.056202
0.104	0.057408
0.106	0.058618
0.108	0.059832
0.11	0.06105
0.112	0.062272
0.114	0.063498
0.116	0.064728
0.118	0.065962
0.12	0.0672
0.122	0.068442
0.124	0.069688
0.126	0.070938
0.128	0.072192
0.13	0.07345
0.132	0.074712
0.134	0.075978
0.136	0.077248
0.138	0.078522
0.14	0.0798
0.142	0.081082
0.144	0.082368
0.146	0.083658
0.148	0.084952
0.15	0.08625
0.152	0.087552
0.154	0.088858
0.156	0.090168
0.158	0.091482
0.16	0.0928
0.162	0.094122
0.164	0.095448
0.166	0.096778
0.168	0.098112
0.17	0.09945
0.172	0.100792
0.174	0.102138
0.176	0.103488
0.178	0.104842
0.18	0.1062
0.182	0.107562
0.184	0.108928
0.186	0.110298
0.188	0.111672
0.19	0.11305
0.192	0.114432
0.194	0.115818
0.196	0.117208
0.198	0.118602
0.2	0.12
0.202	0.121402
0.204	0.122808
0.206	0.124218
0.208	0.125632
0.21	0.12705
0.212	0.128472
0.214	0.129898
0.216	0.131328
0.218	0.132762
0.22	0.1342
0.222	0.135642
0.224	0.137088
0.226	0.138538
0.228	0.139992
0.23	0.14145
0.232	0.142912
0.234	0.144378
0.236	0.145848
0.238	0.147322
0.24	0.1488
0.242	0.150282
0.244	0.151768
0.246	0.153258
0.248	0.154752
0.25	0.15625
0.252	0.157752
0.254	0.159258
0.256	0.160768
0.258	0.162282
0.26	0.1638
0.262	0.165322
0.264	0.166848
0.266	0.168378
0.268	0.169912
0.27	0.17145
0.272	0.172992
0.274	0.174538
0.276	0.176088
0.278	0.177642
0.28	0.1792
0.282	0.180762
0.284	0.182328
0.286	0.183898
0.288	0.185472
0.29	0.18705
0.292	0.188632
0.294	0.190218
0.296	0.191808
0.298	0.193402
0.3	0.195
0.302	0.196602
0.304	0.198208
0.306	0.199818
0.308	0.201432
0.31	0.20305
0.312	0.204672
0.314	0.206298
0.316	0.207928
0.318	0.209562
0.32	0.2112
0.322	0.212842
0.324	0.214488
0.326	0.216138
0.328	0.217792
0.33	0.21945
0.332	0.221112
0.334	0.222778
0.336	0.224448
0.338	0.226122
0.34	0.2278
0.342	0.229482
0.344	0.231168
0.346	0.232858
0.348	0.234552
0.35	0.23625
0.352	0.237952
0.354	0.239658
0.356	0.241368
0.358	0.243082
0.36	0.2448
0.362	0.246522
0.364	0.248248
0.366	0.249978
0.368	0.251712
0.37	0.25345
0.372	0.255192
0.374	0.256938
0.376	0.258688
0.378	0.260442
0.38	0.2622
0.382	0.263962
0.384	0.265728
0.386	0.267498
0.388	0.269272
0.39	0.27105
0.392	0.272832
0.394	0.274618
0.396	0.276408
0.398	0.278202
0.4	0.28
0.402	0.281802
0.404	0.283608
0.406	0.285418
0.408	0.287232
0.41	0.28905
0.412	0.290872
0.414	0.292698
0.416	0.294528
0.418	0.296362
0.42	0.2982
0.422	0.300042
0.424	0.301888
0.426	0.303738
0.428	0.305592
0.43	0.30745
0.432	0.309312
0.434	0.311178
0.436	0.313048
0.438	0.314922
0.44	0.3168
0.442	0.318682
0.444	0.320568
0.446	0.322458
0.448	0.324352
0.45	0.32625
0.452	0.328152
0.454	0.330058
0.456	0.331968
0.458	0.333882
0.46	0.3358
0.462	0.337722
0.464	0.339648
0.466	0.341578
0.468	0.343512
0.47	0.34545
0.472	0.347392
0.474	0.349338
0.476	0.351288
0.478	0.353242
0.48	0.3552
0.482	0.357162
0.484	0.359128
0.486	0.361098
0.488	0.363072
0.49	0.36505
0.492	0.367032
0.494	0.369018
0.496	0.371008
0.498	0.373002
0.5	0.375
0.502	0.377002
0.504	0.379008
0.506	0.381018
0.508	0.383032
0.51	0.38505
0.512	0.387072
0.514	0.389098
0.516	0.391128
0.518	0.393162
0.52	0.3952
0.522	0.397242
0.524	0.399288
0.526	0.401338
0.528	0.403392
0.53	0.40545
0.532	0.407512
0.534	0.409578
0.536	0.411648
0.538	0.413722
0.54	0.4158
0.542	0.417882
0.544	0.419968
0.546	0.422058
0.548	0.424152
0.55	0.42625
0.552	0.428352
0.554	0.430458
0.556	0.432568
0.558	0.434682
0.56	0.4368
0.562	0.438922
0.564	0.441048
0.566	0.443178
0.568	0.445312
0.57	0.44745
0.572	0.449592
0.574	0.451738
0.576	0.453888
0.578	0.456042
0.58	0.4582
0.582	0.460362
0.584	0.462528
0.586	0.464698
0.588	0.466872
0.59	0.46905
0.592	0.471232
0.594	0.473418
0.596	0.475608
0.598	0.477802
0.6	0.48
0.602	0.482202
0.604	0.484408
0.606	0.486618
0.608	0.488832
0.61	0.49105
0.612	0.493272
0.614	0.495498
0.616	0.497728
0.618	0.499962
0.62	0.5022
0.622	0.504442
